"";"post_code";"muni_name"
"544";"17870";"Kuhmoinen"
"545";"17930";"Kuhmoinen"
"546";"17950";"Kuhmoinen"
"547";"17970";"Kuhmoinen"
"548";"18100";"Heinola"
"549";"18120";"Heinola"
"550";"18130";"Heinola"
"551";"18150";"Heinola"
"552";"18200";"Heinola"
"553";"18300";"Heinola"
"554";"18600";"Heinola"
"555";"19110";"Heinola"
"556";"19120";"Heinola"
"557";"19160";"Iitti"
"558";"19210";"Heinola"
"559";"19230";"Sysmä"
"560";"19250";"Heinola"
"561";"19260";"Heinola"
"562";"19310";"Sysmä"
"563";"19320";"Sysmä"
"564";"19370";"Sysmä"
"565";"19410";"Pertunmaa"
"566";"19420";"Pertunmaa"
"567";"19430";"Pertunmaa"
"568";"19460";"Pertunmaa"
"569";"19470";"Pertunmaa"
"570";"19480";"Pertunmaa"
"571";"19510";"Hartola"
"572";"19540";"Hartola"
"573";"19600";"Hartola"
"574";"19610";"Hartola"
"575";"19620";"Hartola"
"576";"19630";"Hartola"
"577";"19650";"Joutsa"
"578";"19670";"Joutsa"
"579";"19700";"Sysmä"
"580";"19730";"Sysmä"
"581";"19740";"Sysmä"
"582";"19770";"Sysmä"
"583";"19850";"Hartola"
"584";"19910";"Luhanka"
"585";"19920";"Joutsa"
"586";"19950";"Luhanka"
"587";"20100";"Turku"
"588";"20200";"Turku"
"589";"20210";"Turku"
"590";"20240";"Turku"
"591";"20250";"Turku"
"592";"20300";"Turku"
"593";"20320";"Turku"
"594";"20360";"Turku"
"595";"20380";"Turku"
"596";"20400";"Turku"
"597";"20460";"Turku"
"598";"20500";"Turku"
"599";"20520";"Turku"
"600";"20540";"Turku"
"601";"20610";"Turku"
"602";"20660";"Kaarina"
"603";"20700";"Turku"
"604";"20720";"Turku"
"605";"20730";"Turku"
"606";"20740";"Turku"
"607";"20750";"Turku"
"608";"20760";"Kaarina"
"609";"20780";"Kaarina"
"610";"20800";"Turku"
"611";"20810";"Turku"
"612";"20880";"Turku"
"613";"20900";"Turku"
"614";"20960";"Turku"
"615";"21100";"Naantali"
"616";"21110";"Naantali"
"617";"21120";"Raisio"
"618";"21130";"Naantali"
"619";"21140";"Naantali"
"620";"21150";"Naantali"
"621";"21160";"Naantali"
"622";"21180";"Naantali"
"623";"21195";"Naantali"
"624";"21200";"Raisio"
"625";"21210";"Raisio"
"626";"21220";"Raisio"
"627";"21230";"Masku"
"628";"21240";"Masku"
"629";"21250";"Masku"
"630";"21260";"Raisio"
"631";"21270";"Nousiainen"
"632";"21280";"Raisio"
"633";"21290";"Rusko"
"634";"21310";"Rusko"
"635";"21330";"Turku"
"636";"21340";"Turku"
"637";"21350";"Lieto"
"638";"21360";"Lieto"
"639";"21370";"Aura"
"640";"21380";"Aura"
"641";"21410";"Lieto"
"642";"21420";"Lieto"
"643";"21430";"Lieto"
"644";"21450";"Lieto"
"645";"21480";"Marttila"
"646";"21490";"Marttila"
"647";"21500";"Kaarina"
"648";"21510";"Paimio"
"649";"21520";"Paimio"
"650";"21530";"Paimio"
"651";"21540";"Paimio"
"652";"21555";"Paimio"
"653";"21560";"Marttila"
"654";"21570";"Sauvo"
"655";"21590";"Sauvo"
"656";"21600";"Parainen"
"657";"21610";"Parainen"
"658";"21620";"Kaarina"
"659";"21630";"Parainen"
"660";"21650";"Parainen"
"661";"21660";"Parainen"
"662";"21670";"Parainen"
"663";"21680";"Parainen"
"664";"21710";"Parainen"
"665";"21720";"Parainen"
"666";"21740";"Parainen"
"667";"21750";"Parainen"
"668";"21760";"Parainen"
"669";"21770";"Parainen"
"670";"21800";"Pöytyä"
"671";"21820";"Pöytyä"
"672";"21840";"Pöytyä"
"673";"21860";"Pöytyä"
"674";"21870";"Pöytyä"
"675";"21880";"Pöytyä"
"676";"21890";"Pöytyä"
"677";"21900";"Pöytyä"
"678";"21930";"Pöytyä"
"679";"22100";"Maarianhamina - Mariehamn"
"680";"22120";"Jomala"
"681";"22130";"Jomala"
"682";"22140";"Jomala"
"683";"22150";"Jomala"
"684";"22160";"Lemland"
"685";"22220";"Finström"
"686";"22240";"Hammarland"
"687";"22270";"Eckerö"
"688";"22310";"Finström"
"689";"22320";"Saltvik"
"690";"22330";"Finström"
"691";"22340";"Geta"
"692";"22410";"Finström"
"693";"22430";"Saltvik"
"694";"22520";"Sund"
"695";"22530";"Sund"
"696";"22550";"Vårdö"
"697";"22610";"Lemland"
"698";"22630";"Lumparland"
"699";"22710";"Föglö"
"700";"22720";"Sottunga"
