"";"neighborhood";"apartment_type";"building_type";"square_meters";"price";"price_per_sqm";"year_built";"floor";"elevator";"condition";"property_type";"energy_classification";"post_code";"apartment_type_cleaned";"number_of_rooms";"sauna_dummy";"own_floor";"max_floor";"elevator_dummy";"condition_unrecorded_dummy";"condition_adequate_dummy";"condition_good_dummy";"age_of_building";"own_property_dummy";"energy_class_cleaned";"energy_class_A_dummy";"energy_class_B_dummy";"energy_class_C_dummy";"energy_class_D_dummy";"energy_class_E_dummy";"energy_class_F_dummy";"energy_class_G_dummy";"energy_class_missing_dummy";"one_room_dummy";"two_rooms_dummy";"three_rooms_dummy";"four_or_more_rooms_dummy";"room_information_missing_dummy";"row_house_dummy";"town_house_dummy"
"13754";"Keskuta";"1h,k,alkovi,rp";"kt";40,5;"67000";"1654";"1954";"3/3";"ei";"tyyd.";"vuokra";"F2013";"28100";"1h+k+alkovi+rp";1;0;3;3;0;0;1;0;66;0;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"13756";"Viidesosa";"1h, k, p";"kt";36;"48184";"1338";"1984";"3/3";"ei";"tyyd.";"oma";"F2013";"28100";"1h+k+p";1;0;3;3;0;0;1;0;36;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"13757";"Keskusta";"1h+tupak.+s";"kt";35;"130000";"3714";"2012";"6/6";"on";"hyvä";"oma";"B2018";"28100";"1h+tupak.+s";1;1;6;6;1;0;0;1;8;1;"B";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"13758";"Keskuta";"1h, kk, alkovi";"kt";37;"66000";"1784";"1964";"3/8";"on";"tyyd.";"oma";"D2007";"28100";"1h+kk+alkovi";1;0;3;8;1;0;1;0;56;1;"D";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"13759";"Isosanta";"1h, kk";"kt";25;"38500";"1540";"1961";"3/3";"ei";"hyvä";"vuokra";"C2007";"28100";"1h+kk";1;0;3;3;0;0;0;1;59;0;"C";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"13761";"Keskusta";"2h+k";"kt";58;"91000";"1569";"1967";"7/9";"on";" ";"oma";"F2013";"28100";"2h+k";2;0;7;9;1;1;0;0;53;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"13762";"Keskusta";"2h,k,s";"kt";49;"128800";"2629";"2009";" ";"ei";"hyvä";"vuokra";"E2013";"28100";"2h+k+s";2;1;NA;NA;0;0;0;1;11;0;"E";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"13764";"Keskusta";"2+kt+s";"kt";38;"114604";"3016";"2012";"2/6";"on";"hyvä";"oma";"B2018";"28100";"2+kt+s";NA;1;2;6;1;0;0;1;8;1;"B";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"13765";"Itätulli";"2h, k, wc, kh, ...";"kt";57;"83000";"1456";"1984";"2/4";"on";"tyyd.";"oma";"F2013";"28100";"2h+k+wc+kh+...";2;0;2;4;1;0;1;0;36;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"13766";"Keskusta";"2h+k";"kt";57;"75000";"1316";"1964";"3/7";"on";" ";"oma";"D2013";"28100";"2h+k";2;0;3;7;1;1;0;0;56;1;"D";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"13767";"Karjaranta";"2h, k, s";"kt";51;"208200";"4082";"2020";"6/8";"on";"hyvä";"oma";"A2018";"28100";"2h+k+s";2;1;6;8;1;0;0;1;0;1;"A";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"13768";"Keskusta";"2 h, k, s";"kt";48;"175000";"3646";"2020";"2/6";"ei";"hyvä";"oma";NA;"28100";"2h+k+s";2;1;2;6;0;0;0;1;0;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"13770";"Keskusta";"2 h, k, s";"kt";48;"191000";"3979";"2020";"4/6";"ei";"hyvä";"oma";NA;"28100";"2h+k+s";2;1;4;6;0;0;0;1;0;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"13771";"Karjaranta";"2h, k, s";"kt";51;"186300";"3653";"2020";"2/8";"on";"hyvä";"oma";"A2018";"28100";"2h+k+s";2;1;2;8;1;0;0;1;0;1;"A";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"13772";"Keskusta";"2 h, k, s";"kt";56;"226800";"4050";"2020";"5/6";"ei";"hyvä";"oma";NA;"28100";"2h+k+s";2;1;5;6;0;0;0;1;0;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"13774";"Keskusta";"2 h, k, s";"kt";56;"216646";"3869";"2020";"4/6";"ei";"hyvä";"oma";NA;"28100";"2h+k+s";2;1;4;6;0;0;0;1;0;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"13775";"Keskusta";"2h,k, ph/wc";"kt";63,3;"89000";"1406";"1954";"3/6";"on";"tyyd.";"oma";NA;"28100";"2h+k+ph/wc";2;0;3;6;1;0;1;0;66;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"13776";"Karjaranta";"2h, k, s";"kt";51;"214200";"4200";"2020";"7/8";"on";"hyvä";"oma";"A2018";"28100";"2h+k+s";2;1;7;8;1;0;0;1;0;1;"A";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"13777";"Keskusta";"2h, k, s ,p";"kt";55;"164000";"2982";"2012";"1/6";"on";"hyvä";"oma";"E2013";"28100";"2h+k+s+p";2;1;1;6;1;0;0;1;8;1;"E";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"13778";"Keskusta";"2h+k+kph+p";"kt";55;"95000";"1727";"1972";"5/6";"on";"hyvä";"oma";"F2013";"28100";"2h+k+kph+p";2;0;5;6;1;0;0;1;48;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"13779";"Keskusta";"2h+kt+s";"kt";53;"695";"13";"2012";"3/6";"on";"hyvä";"oma";"B2018";"28100";"2h+kt+s";2;1;3;6;1;0;0;1;8;1;"B";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"13780";"Keskusta";"2 h, k, p";"kt";38;"149931";"3946";"2020";"3/6";"ei";"hyvä";"oma";NA;"28100";"2h+k+p";2;0;3;6;0;0;0;1;0;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"13781";"Keskusta";"2 h, k, p";"kt";38;"155000";"4079";"2020";"5/6";"ei";"hyvä";"oma";NA;"28100";"2h+k+p";2;0;5;6;0;0;0;1;0;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"13782";"Keskusta";"2 h, k, p";"kt";33,5;"135526";"4046";"2020";"4/6";"ei";"hyvä";"oma";NA;"28100";"2h+k+p";2;0;4;6;0;0;0;1;0;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"13783";"Keskusta";"2 h, kt, p";"kt";33,5;"136025";"4060";"2020";"4/6";"ei";"hyvä";"oma";NA;"28100";"2h+kt+p";2;0;4;6;0;0;0;1;0;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"13785";"5. osa / itätulli";"2h,k,s";"kt";48;"122500";"2552";"2005";"5/5";"on";"hyvä";"oma";"F2013";"28100";"2h+k+s";2;1;5;5;1;0;0;1;15;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"13786";"Karjaranta";"2h, k, s";"kt";51;"202200";"3965";"2020";"5/8";"on";"hyvä";"oma";"A2018";"28100";"2h+k+s";2;1;5;8;1;0;0;1;0;1;"A";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"13787";"Keskusta";"2h, k, kh, s, p";"kt";59;"166000";"2814";"2005";"3/6";"ei";"hyvä";"oma";NA;"28100";"2h+k+kh+s+p";2;1;3;6;0;0;0;1;15;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
